label_date,stock_code,ts_code,stock_name,return_y,abs_return_y,listing_date,delist_date,calendar_days_since_listing,calendar_days_to_listing,market_type,exchange,listing_status,daily_member,has_local_daily_history,has_base_or_future_daily_record,first_record_date,base_or_next_record_date,base_or_next_close,base_or_next_pct_change,event_date,event_stock_code,event_open,event_high,event_low,event_close,event_prev_close,previous_actual_close,reference_vs_previous_actual_ret,event_raw_pct_change,event_raw_close_ret,event_abs_raw_pct_change,event_volume,event_amount,event_turnover,prev_event_date,next_event_date,event_gap_before_market_days,event_gap_after_market_days,trading_days_since_first_record,event_is_first_record,raw_cum_from_base_or_next_to_event,event_raw_pct_captures_label,event_window,primary_cause,severity,cause_explanation
2016-04-06,002258,002258.SZ,利尔化学,-0.5376933620520854,0.5376933620520854,2008-07-08,,2829.0,,主板,SZSE,上市,002258.SZ.csv,True,True,2008-07-08,2016-04-06,26.09,7.45,2016-04-08,002258.SZ,12.0,12.0,11.03,11.28,12.26,24.71,-0.5038445973290167,-7.99,-0.5435046539862405,7.99,244195.47,277435.0651,4.6596,2016-04-07,2016-04-11,0,0,1844,False,-0.5676504407819087,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2016-04-08 differs from label date 2016-04-06
2018-04-16,002737,002737.SZ,葵花药业,-0.5368308858360964,0.5368308858360964,2014-12-30,,1203.0,,主板,SZSE,上市,002737.SZ.csv,True,True,2014-12-30,2018-04-16,42.5,1.43,2018-04-18,002737.SZ,19.75,20.68,18.73,20.28,19.7,40.4,-0.5123762376237624,2.94,-0.498019801980198,2.94,110941.14,219698.607,2.1468,2018-04-17,2018-04-19,0,0,803,False,-0.5228235294117647,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2018-04-18 differs from label date 2018-04-16
2017-03-02,600816,600816.SH,建元信托,-0.536786786786787,0.536786786786787,1994-01-28,,8434.0,,主板,SSE,上市,600816.SH.csv,True,True,1994-01-28,2017-03-02,26.6,-2.06,2017-03-06,600816.SH,12.5,12.57,12.0,12.05,12.37,27.81,-0.5551959726717008,-2.59,-0.5667026249550521,2.59,666434.93,812898.697,5.8703,2017-03-03,2017-03-07,0,0,5074,False,-0.5469924812030076,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2017-03-06 differs from label date 2017-03-02
2017-07-03,603077,603077.SH,和邦生物,-0.5367286973555337,0.5367286973555337,2012-07-31,,1798.0,,主板,SSE,上市,603077.SH.csv,True,True,2012-07-31,2017-07-03,5.12,0.59,2017-07-05,603077.SH,2.34,2.56,2.34,2.45,2.34,5.16,-0.5465116279069768,4.7,-0.5251937984496124,4.7,1161344.54,285602.854,3.5062,2017-07-04,2017-07-06,0,0,1122,False,-0.521484375,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2017-07-05 differs from label date 2017-07-03
2016-05-25,002514,002514.SZ,*ST宝馨,-0.5366917889726299,0.5366917889726299,2010-12-03,,2000.0,,主板,SZSE,上市,002514.SZ.csv,True,True,2010-12-03,2016-05-25,25.95,-3.17,2016-05-27,002514.SZ,11.7,12.63,11.23,12.2,12.09,24.17,-0.49979313198179565,0.91,-0.4952420355812992,0.91,427356.41,506677.1906,12.4919,2016-05-26,2016-05-30,0,0,1096,False,-0.5298651252408477,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2016-05-27 differs from label date 2016-05-25
2017-06-06,603778,603778.SH,国晟科技,-0.5350410826486225,0.5350410826486225,2015-12-31,,523.0,,主板,SSE,上市,603778.SH.csv,True,True,2015-12-31,2017-06-06,29.89,-1.58,2017-06-08,603778.SH,14.43,14.43,14.43,14.43,13.12,32.88,-0.6009732360097324,9.98,-0.5611313868613139,9.98,62997.33,90905.147,6.9624,2017-06-07,2017-06-09,0,0,344,False,-0.5172298427567749,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2017-06-08 differs from label date 2017-06-06
2017-06-08,300549,300549.SZ,优德精密,-0.5335926736364371,0.5335926736364371,2016-09-30,,251.0,,创业板,SZSE,上市,300549.SZ.csv,True,True,2016-09-30,2017-06-08,62.77,2.4,2017-06-12,300549.SZ,29.24,29.48,27.32,27.32,30.35,60.89,-0.5015601905074725,-9.98,-0.5513220561668583,9.98,36377.68,102651.605,10.9111,2017-06-09,2017-06-13,0,0,165,False,-0.5647602357814243,False,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; nearest/event trading date 2017-06-12 differs from label date 2017-06-08
2019-07-03,000732,000732.SZ,ST泰禾(退),-0.5324404761904771,0.5324404761904771,1997-07-04,2023-08-04,8034.0,,主板,SZSE,退市,000732.SZ.csv,True,True,1997-07-04,2019-07-03,16.79,0.5389,2019-07-05,000732.SZ,7.82,7.98,7.55,7.76,8.29,16.79,-0.5062537224538416,-6.3932,-0.5378201310303752,6.3932,566623.42,438471.713,2.2792,2019-07-04,2019-07-08,0,0,4410,False,-0.5378201310303752,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2019-07-05 differs from label date 2019-07-03
2018-06-07,002398,002398.SZ,垒知集团,-0.5317788642346746,0.5317788642346746,2010-05-06,,2954.0,,主板,SZSE,上市,002398.SZ.csv,True,True,2010-05-06,2018-06-07,13.29,-1.41,2018-06-11,002398.SZ,6.41,6.41,6.03,6.11,6.44,13.08,-0.5076452599388379,-5.12,-0.532874617737003,5.12,57343.66,35383.169,1.0951,2018-06-08,2018-06-12,0,0,1842,False,-0.5402558314522197,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2018-06-11 differs from label date 2018-06-07
2018-05-28,300602,300602.SZ,飞荣达,-0.5316030534351148,0.5316030534351148,2017-01-26,,487.0,,创业板,SZSE,上市,300602.SZ.csv,True,True,2017-01-26,2018-05-28,67.15,0.74,2018-05-30,300602.SZ,31.65,32.27,30.05,30.61,32.51,65.11,-0.5006911380740287,-5.84,-0.5298725234219014,5.84,12656.51,39381.851,2.0534,2018-05-29,2018-05-31,0,0,324,False,-0.5441548771407297,True,10,corporate_action_unadjusted_price_discontinuity,High,unadjusted_price_discontinuity_ex_rights_or_corporate_action; label_matches_local_raw_move; nearest/event trading date 2018-05-30 differs from label date 2018-05-28
